rest_close_eye_start,rest_close_eye_start_lsl,rest_close_eye_end,rest_close_eye_end_lsl,rest_open_eye_start,rest_open_eye_start_lsl,rest_open_eye_end,rest_open_eye_end_lsl,event,rating_label,kss_rating,time_sec,lsl_timestamp,stress,frustration,phase,trial,tick_soa_s,is_target_double_jump,responded,rt,n_positions,position_phase,correct,hit,false_alarm,miss,participant,calibration_min,formal_min,ratings_every_min,mack_positions,mack_initial_SOA,mack_target_prob
,,,,,,,,,,,117,147314.9533488,,,Mackworth_Calibration,148,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,117,147315.5532679,,,Mackworth_Calibration,149,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,118,147316.1317774,,,Mackworth_Calibration,150,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,118,147316.7319186,,,Mackworth_Calibration,151,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,119,147317.3311672,,,Mackworth_Calibration,152,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,120,147317.9405443,,,Mackworth_Calibration,153,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,120,147318.5398373,,,Mackworth_Calibration,154,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,121,147319.1394784,,,Mackworth_Calibration,155,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,121,147319.7390087,,,Mackworth_Calibration,156,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,122,147320.3148428,,,Mackworth_Calibration,157,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,123,147320.9064324,,,Mackworth_Calibration,158,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,123,147321.5138913,,,Mackworth_Calibration,159,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,124,147322.096921,,,Mackworth_Calibration,160,0.5701543749999999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,124,147322.7143531,,,Mackworth_Calibration,161,0.5416466562499999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,125,147323.2723493,,,Mackworth_Calibration,162,0.5416466562499999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,126,147323.826932,,,Mackworth_Calibration,163,0.5416466562499999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,126,147324.393874,,,Mackworth_Calibration,164,0.5416466562499999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,127,147324.9356837,,,Mackworth_Calibration,165,0.5416466562499999,1,1,0.46748619998106733,,,,,,,Weiyu,3,30,3,12,0.7,0.1
,,,,,,,,,,,127,147325.5079596,,,Mackworth_Calibration,166,0.5416466562499999,0,0,,,,,,,,Weiyu,3,30,3,12,0.7,0.1
