,perclos,kss_rating,stress,frustration,accuracy,hit_rate,false_alarm_rate,rt_mean
perclos,1.0,0.6547225977088814,0.5380599477622705,0.41919030636558696,-0.18860283700640648,-0.1979824316144572,0.11693448221748208,-0.16140071417674068
kss_rating,0.6547225977088814,1.0,0.688362760354972,0.6883686904374557,-0.0441801474013318,-0.05500712636643698,0.01776081370474666,-0.026386428775091415
stress,0.5380599477622705,0.688362760354972,1.0,0.9255625919145714,-0.012605078547866702,-0.05742993518158961,-0.0585632942997846,0.03586916427777105
frustration,0.41919030636558696,0.6883686904374557,0.9255625919145714,1.0,0.01288455062134816,-0.03563629410949927,-0.06922516350517646,0.07169515913986832
accuracy,-0.18860283700640648,-0.0441801474013318,-0.012605078547866702,0.01288455062134816,1.0,0.886853728497329,-0.87039731443952,0.2055953250574811
hit_rate,-0.1979824316144572,-0.05500712636643698,-0.05742993518158961,-0.03563629410949927,0.886853728497329,1.0,-0.6269137135425433,0.1816472794481166
false_alarm_rate,0.11693448221748208,0.01776081370474666,-0.0585632942997846,-0.06922516350517646,-0.87039731443952,-0.6269137135425433,1.0,-0.14938805925071266
rt_mean,-0.16140071417674068,-0.026386428775091415,0.03586916427777105,0.07169515913986832,0.2055953250574811,0.1816472794481166,-0.14938805925071266,1.0
