,perclos,kss_rating,stress,frustration,accuracy,hit_rate,false_alarm_rate,rt_mean
perclos,1.0,0.12004000088166963,-0.18316521582551995,-0.13551975181518966,-0.12404795843483228,-0.16123664671311222,0.11766180997108906,-0.22105468906353035
kss_rating,0.12004000088166963,1.0,-0.5162423082339889,-0.881426796825792,-0.09139998614993709,-0.0917742890291723,0.09621287397177593,0.15696175797990072
stress,-0.18316521582551995,-0.5162423082339889,1.0,0.7555992597394333,0.05706207245662112,0.0563917141423591,-0.04600355740834154,0.06475262005304928
frustration,-0.13551975181518966,-0.881426796825792,0.7555992597394333,1.0,0.09814783098753878,0.0728963958322471,-0.11788716111926095,-0.2009418257374094
accuracy,-0.12404795843483228,-0.09139998614993709,0.05706207245662112,0.09814783098753878,1.0,0.8768514436234951,-0.9311675064356835,0.12540264418862046
hit_rate,-0.16123664671311222,-0.0917742890291723,0.0563917141423591,0.0728963958322471,0.8768514436234951,1.0,-0.718194846101717,0.1215308134110683
false_alarm_rate,0.11766180997108906,0.09621287397177593,-0.04600355740834154,-0.11788716111926095,-0.9311675064356835,-0.718194846101717,1.0,-0.12958377631964138
rt_mean,-0.22105468906353035,0.15696175797990072,0.06475262005304928,-0.2009418257374094,0.12540264418862046,0.1215308134110683,-0.12958377631964138,1.0
