eeg_feature,behavior_variable,correlation,abs_correlation
de_fp2_33_35Hz,kss_rating,0.6715184019550365,0.6715184019550365
bp_fp1_theta,frustration,0.6593579290302847,0.6593579290302847
bp_fp1_alpha,frustration,0.6563626391748243,0.6563626391748243
de_fp2_31_33Hz,kss_rating,0.6485492479602182,0.6485492479602182
de_fp1_3_5Hz,kss_rating,-0.6451906806543974,0.6451906806543974
de_fp2_39_41Hz,kss_rating,0.6427756886917021,0.6427756886917021
de_fp2_45_47Hz,kss_rating,0.6404738330026006,0.6404738330026006
de_fp2_37_39Hz,kss_rating,0.63752383268392,0.63752383268392
de_fp1_3_5Hz,frustration,0.6368309164739167,0.6368309164739167
de_fp2_27_29Hz,kss_rating,0.635549077370124,0.635549077370124
de_fp1_9_11Hz,kss_rating,-0.6308285545744003,0.6308285545744003
bp_fp1_theta,kss_rating,-0.6261060836890346,0.6261060836890346
bp_fp1_alpha,kss_rating,-0.6260830663328576,0.6260830663328576
de_fp2_49_51Hz,kss_rating,0.6242260274825882,0.6242260274825882
de_fp2_25_27Hz,kss_rating,0.6235723568845257,0.6235723568845257
de_fp2_35_37Hz,kss_rating,0.6207872882030421,0.6207872882030421
bp_fp1_delta,kss_rating,-0.6196591932413076,0.6196591932413076
de_fp2_29_31Hz,kss_rating,0.6186977484615347,0.6186977484615347
bp_fp1_delta,frustration,0.6102345381171831,0.6102345381171831
de_fp1_7_9Hz,kss_rating,-0.6067597392810871,0.6067597392810871
de_fp1_7_9Hz,frustration,0.6065299182866454,0.6065299182866454
de_fp1_9_11Hz,frustration,0.6039087148790319,0.6039087148790319
de_fp2_41_43Hz,kss_rating,0.6014059593178077,0.6014059593178077
de_fp1_5_7Hz,frustration,0.5952499414333294,0.5952499414333294
de_fp1_5_7Hz,kss_rating,-0.5886623561702026,0.5886623561702026
de_fp2_43_45Hz,kss_rating,0.5839160793073863,0.5839160793073863
de_fp2_23_25Hz,kss_rating,0.5788199394713619,0.5788199394713619
de_fp1_31_33Hz,kss_rating,0.5705933899201941,0.5705933899201941
de_fp1_13_15Hz,kss_rating,-0.5700112293645472,0.5700112293645472
de_fp1_13_15Hz,frustration,0.5652283090309239,0.5652283090309239
de_fp2_21_23Hz,kss_rating,0.5630385558329967,0.5630385558329967
de_fp1_33_35Hz,kss_rating,0.5595100971049328,0.5595100971049328
de_fp1_11_13Hz,frustration,0.5532831893414023,0.5532831893414023
bp_fp2_gamma,kss_rating,0.5457891818267036,0.5457891818267036
de_fp1_39_41Hz,kss_rating,0.5408323236536842,0.5408323236536842
de_fp2_47_49Hz,kss_rating,0.537076975489317,0.537076975489317
de_fp1_25_27Hz,kss_rating,0.5362602292198217,0.5362602292198217
de_fp1_29_31Hz,kss_rating,0.5335974887337832,0.5335974887337832
de_fp1_37_39Hz,kss_rating,0.5325451626286786,0.5325451626286786
de_fp1_11_13Hz,kss_rating,-0.530571778223187,0.530571778223187
de_fp1_27_29Hz,kss_rating,0.5297291969998538,0.5297291969998538
de_fp1_15_17Hz,frustration,0.523467399114988,0.523467399114988
de_fp1_23_25Hz,kss_rating,0.5215829972886135,0.5215829972886135
de_fp2_19_21Hz,kss_rating,0.5163255173112907,0.5163255173112907
de_fp1_35_37Hz,kss_rating,0.5025792224002653,0.5025792224002653
de_fp2_33_35Hz,frustration,-0.49121423869865316,0.49121423869865316
de_fp1_41_43Hz,kss_rating,0.48999997867663886,0.48999997867663886
de_fp1_15_17Hz,kss_rating,-0.4850615415186318,0.4850615415186318
bp_fp1_gamma,kss_rating,0.4768910716919154,0.4768910716919154
