,perclos,kss_rating,stress,frustration,accuracy,hit_rate,false_alarm_rate,rt_mean
perclos,1.0,0.3663456855219115,0.3452303233256656,0.35396685342375533,0.04064532862850102,-0.021311957120812984,-0.09220128632113925,-0.10668881330084999
kss_rating,0.3663456855219115,1.0,-0.12901408883330528,-0.16507015675452258,-0.13202325878708895,-0.1409204297340322,0.04136584292110981,0.16353268312131009
stress,0.3452303233256656,-0.12901408883330528,1.0,0.8983977964589513,-0.046626303759567646,-0.027131194730381884,7.443059447167203e-05,0.13957077642072505
frustration,0.35396685342375533,-0.16507015675452258,0.8983977964589513,1.0,0.014396874352163368,0.05176705176920275,-0.055185420811731604,0.1535681842726669
accuracy,0.04064532862850102,-0.13202325878708895,-0.046626303759567646,0.014396874352163368,1.0,0.8409784586579181,-0.8746066992586128,0.04304491313880318
hit_rate,-0.021311957120812984,-0.1409204297340322,-0.027131194730381884,0.05176705176920275,0.8409784586579181,1.0,-0.5449431774339955,0.24280214103710349
false_alarm_rate,-0.09220128632113925,0.04136584292110981,7.443059447167203e-05,-0.055185420811731604,-0.8746066992586128,-0.5449431774339955,1.0,-0.009124060207584344
rt_mean,-0.10668881330084999,0.16353268312131009,0.13957077642072505,0.1535681842726669,0.04304491313880318,0.24280214103710349,-0.009124060207584344,1.0
