epoch,train_loss,val_loss,val_mae,val_rmse,val_correlation
1,0.04897904407822762,0.053637270079673324,0.14952441858013216,0.23159721518117035,-0.0016796765356451582
2,0.0484767199854821,0.037680799323706056,0.15291918254207162,0.1941154278353631,0.6834916132147222
3,0.03792536739768495,0.036618020585970475,0.1533215700230869,0.19135835645712074,0.4114269158947876
4,0.03615526341884466,0.03594907489101549,0.15364018034267812,0.18960241267192643,0.7250267069815322
5,0.030937392311601707,0.03523494080093591,0.15709821296847493,0.18770972484380213,0.7024455662408567
6,0.023890145534138905,0.03501320270581092,0.15565284015059336,0.18711815172722,0.6595531226076673
7,0.02148213996983845,0.035825554355496336,0.1534945848288861,0.18927639672050062,0.5112486953202006
8,0.024771637822164204,0.035199451691057065,0.15711618652659137,0.18761516913900397,0.6810224709084816
9,0.019145438457145923,0.03489412858939274,0.1556393098909209,0.18679970179149843,0.6112151244087952
10,0.02138946678281554,0.034908739368079054,0.15611326078702445,0.18683880584096832,0.6459890403654294
11,0.016093401014861546,0.03515160459981639,0.15710514987224408,0.18748761185693413,0.761574003758254
12,0.01477064459450476,0.03531165164509609,0.1575249011038587,0.18791394744695264,0.6489262196148231
13,0.017194325067203132,0.03490022711856852,0.15208594422244523,0.18681602479061726,0.6225077119261357
14,0.016878623294618183,0.036947175118760126,0.15978419174160005,0.1922164798313613,0.5807914138160539
15,0.017013542736217913,0.03380827776144207,0.15318225163143728,0.18387027427358144,0.6698726316979444
16,0.015203171712128899,0.039370763259887843,0.16541854009635198,0.19842067246103123,0.6423195846081712
17,0.01597410936668762,0.04346257559715374,0.1781529851969608,0.20847679870228664,0.6201712112875867
18,0.017244781938235955,0.034666707654171465,0.15325399465200457,0.1861899773193269,0.6199005052740929
19,0.01299831149951278,0.03768798538349983,0.16093714136421447,0.1941339367125177,0.5759308429577643
20,0.011317635241264936,0.041681469847546004,0.17316189986578812,0.20416040225162665,0.56313501302666
21,0.012032053054316314,0.03062082545663999,0.14736396505778582,0.17498807232677313,0.6858950784594602
22,0.015505891801521909,0.04534641253095466,0.18804404754659054,0.212946971171122,0.7047878110438315
23,0.014979392533859241,0.031542320753020665,0.1455691051594501,0.17760157868955068,0.6814569165877886
24,0.009436218813491985,0.02794941416693427,0.13443021499595553,0.16718078288767005,0.6773547729124133
25,0.019604272984137194,0.026506052036129577,0.13184396560154532,0.16280679358100994,0.684059889103004
26,0.01275983892835072,0.02368796283410801,0.1229464424553838,0.15390894332074406,0.6908517881131108
27,0.013732895303697718,0.021891170309588787,0.11862192750108864,0.14795665010261885,0.6955114182238351
28,0.008921284026543633,0.020433660469792923,0.11538098290727165,0.1429463552168887,0.7208129368230543
29,0.014412862884229195,0.020481527615754624,0.11406369242574754,0.14311368773026087,0.7085522606754096
30,0.010760163004010004,0.01849076514269803,0.10499472456298854,0.1359807528391354,0.7047680896121463
31,0.012037591644199408,0.019555710360861404,0.11121487723105132,0.13984173325892885,0.6913842518207283
32,0.010060986155862832,0.02165754226412285,0.10591112413699268,0.14716501712065558,0.6197753220391456
33,0.011501137440655068,0.02021412836175692,0.1075233304254672,0.1421763987508367,0.6635700560537956
34,0.00960851233047857,0.017019692594791306,0.09524710697866899,0.13045954390074843,0.719582706352871
35,0.009153106320726688,0.014205931835368961,0.07553299678550078,0.11918863970768759,0.7753435028505854
36,0.01062600959247986,0.015349018841503961,0.08240923206347225,0.12389115723692294,0.7639342400266712
37,0.010773790202764082,0.01648600230242644,0.08030144569063444,0.12839782826211057,0.7291378080939492
38,0.008119802602208862,0.016831908561595582,0.07755510799992724,0.12973784552548875,0.731772230609109
39,0.01081704111311275,0.019747763465260696,0.08288553878967671,0.1405267357667597,0.6948579742956857
40,0.01231831454767499,0.01915286326918367,0.09621355744227392,0.13839387005638534,0.7213631604202286
41,0.010191776367073128,0.017940107546225416,0.08127243768493939,0.1339406866722185,0.7134983382347396
42,0.009883395393647918,0.017775877814647473,0.08232683417922709,0.13332620828122083,0.7197689689102176
43,0.010789143511485185,0.018401673068774452,0.09335095357158157,0.1356527665356459,0.7030541398637602
44,0.010770125544726904,0.01808457878581692,0.08062542630040832,0.1344789157668105,0.7429929716167445
45,0.00849132976958739,0.018775029446036193,0.08825802331795457,0.13702200351051724,0.7344396073109579
46,0.011585259056150394,0.01565471448009066,0.0738457517445932,0.12511880146521007,0.7656047865005398
47,0.015261615028970416,0.014627914874211018,0.07444996316025777,0.12094591714568549,0.7778562287632744
48,0.011552175195770639,0.015442849392091167,0.07337827749565315,0.12426926165424483,0.750494723409573
49,0.013813718258890741,0.018596248389955817,0.07771676723433983,0.13636806220649986,0.7309180142955441
50,0.012655014314226304,0.01536115049261678,0.07587197123119044,0.12394010849041878,0.7503927864725832
51,0.008660372546949983,0.017371345202293418,0.07900425122587033,0.13180039909762573,0.749139360683466
52,0.009064083236639153,0.019489671585819178,0.08214938138151752,0.1396054138843447,0.6980112937498617
53,0.011548859874366898,0.019893178263996007,0.08092676705557655,0.14104317872196445,0.713504084744425
54,0.007513209477728984,0.014920356796869776,0.07153350475241634,0.12214891238512841,0.7910943285989528
55,0.011470136475616276,0.016686922720662536,0.06968737766001969,0.1291778724111159,0.7488568913853438
